,date,open,high,low,close,volume
0,2022-12-18 00:00:00,16777.54,16863.26,16663.07,16738.21,112619.31646
1,2022-12-19 00:00:00,16739.0,16815.99,16256.3,16438.88,179094.28305
2,2022-12-20 00:00:00,16438.88,17061.27,16397.2,16895.56,248808.92324
3,2022-12-21 00:00:00,16896.15,16925.0,16723.0,16824.67,156810.96362
4,2022-12-22 00:00:00,16824.68,16868.52,16559.85,16821.43,176044.27235
5,2022-12-23 00:00:00,16821.9,16955.14,16731.13,16778.5,161612.00947
6,2022-12-24 00:00:00,16778.52,16869.99,16776.62,16836.12,100224.29096
7,2022-12-25 00:00:00,16835.73,16857.96,16721.0,16832.11,125441.07202
8,2022-12-26 00:00:00,16832.11,16944.52,16791.0,16919.39,124564.00656
9,2022-12-27 00:00:00,16919.39,16972.83,16592.37,16706.36,173749.58616
10,2022-12-28 00:00:00,16706.06,16785.19,16465.33,16547.31,193037.56577
11,2022-12-29 00:00:00,16547.32,16664.41,16488.91,16633.47,160998.47158
12,2022-12-30 00:00:00,16633.47,16677.35,16333.0,16607.48,164916.31174
13,2022-12-31 00:00:00,16607.48,16644.09,16470.0,16542.4,114490.42864
14,2023-01-01 00:00:00,16541.77,16628.0,16499.01,16616.75,96925.41374
15,2023-01-02 00:00:00,16617.17,16799.23,16548.7,16672.87,121888.57191
16,2023-01-03 00:00:00,16672.78,16778.4,16605.28,16675.18,159541.53733
17,2023-01-04 00:00:00,16675.65,16991.87,16652.66,16850.36,220362.18862
18,2023-01-05 00:00:00,16850.36,16879.82,16753.0,16831.85,163473.56641
19,2023-01-06 00:00:00,16831.85,17041.0,16679.0,16950.65,207401.28415
20,2023-01-07 00:00:00,16950.31,16981.91,16908.0,16943.57,104526.5688
21,2023-01-08 00:00:00,16943.83,17176.99,16911.0,17127.83,135155.89695
22,2023-01-09 00:00:00,17127.83,17398.8,17104.66,17178.26,266211.52723
23,2023-01-10 00:00:00,17179.04,17499.0,17146.34,17440.66,221382.42581
24,2023-01-11 00:00:00,17440.64,18000.0,17315.6,17943.26,262221.60653
